Team,Match,Alliance,Time,X,Y
5026,1,blue,9.7,47.29,9.6
5026,1,blue,9.8,47.33,9.57
5026,1,blue,9.9,47.41,9.54
5026,1,blue,10.0,47.47,9.56
5026,1,blue,10.1,47.54,9.59
5026,1,blue,10.2,47.44,9.55
5026,1,blue,10.3,47.43,9.54
5026,1,blue,10.4,47.34,9.58
5026,1,blue,10.5,47.27,9.56
5026,1,blue,10.6,47.28,9.55
5026,1,blue,10.7,47.32,9.55
5026,1,blue,10.8,47.33,9.56
5026,1,blue,10.9,47.35,9.56
5026,1,blue,11.0,47.39,9.57
5026,1,blue,11.1,47.4,9.58
5026,1,blue,11.2,47.34,9.57
5026,1,blue,11.3,47.31,9.57
5026,1,blue,11.4,47.31,9.58
5026,1,blue,11.5,47.22,9.6
5026,1,blue,11.6,47.27,9.6
5026,1,blue,11.7,47.31,9.63
5026,1,blue,11.8,47.33,9.67
5026,1,blue,11.9,47.29,9.68
5026,1,blue,12.0,47.26,9.69
5026,1,blue,12.1,47.22,9.68
5026,1,blue,12.2,47.14,9.66
5026,1,blue,12.3,47.14,9.64
5026,1,blue,12.4,47.15,9.61
5026,1,blue,12.5,47.09,9.59
5026,1,blue,12.6,47.1,9.57
5026,1,blue,12.7,47.24,9.57
5026,1,blue,12.8,47.3,9.57
5026,1,blue,12.9,47.23,9.58
5026,1,blue,13.0,47.23,9.55
5026,1,blue,13.1,47.22,9.56
5026,1,blue,13.2,47.21,9.58
5026,1,blue,13.3,47.1,9.58
5026,1,blue,13.4,46.99,9.6
5026,1,blue,13.5,46.92,9.64
5026,1,blue,13.6,46.78,9.69
5026,1,blue,13.7,46.73,9.72
5026,1,blue,13.8,46.68,9.74
5026,1,blue,13.9,46.67,9.76
5026,1,blue,14.0,46.67,9.75
5026,1,blue,14.1,46.7,9.68
5026,1,blue,14.2,46.72,9.66
5026,1,blue,14.3,46.71,9.66
5026,1,blue,14.4,46.66,9.62
5026,1,blue,14.5,46.57,9.62
5026,1,blue,14.6,46.48,9.6
5026,1,blue,14.7,46.37,9.61
5026,1,blue,14.8,46.36,9.6
5026,1,blue,14.9,46.32,9.54
5026,1,blue,15.0,46.36,9.55
5026,1,blue,15.1,46.35,9.55
5026,1,blue,15.2,46.37,9.58
5026,1,blue,15.3,46.4,9.6
5026,1,blue,15.4,46.41,9.63
5026,1,blue,15.5,46.37,9.69
5026,1,blue,15.6,46.26,9.67
5026,1,blue,15.7,46.2,9.65
5026,1,blue,15.8,46.12,9.64
5026,1,blue,15.9,46.09,9.61
5026,1,blue,16.0,46.04,9.6
604,1,blue,0,53.06,17.93
604,1,blue,0.1,53.11,17.94
604,1,blue,0.2,53.16,17.92
604,1,blue,0.3,53.18,17.86
604,1,blue,0.4,53.21,17.91
604,1,blue,0.5,53.2,17.98
604,1,blue,0.6,53.14,17.99
604,1,blue,0.7,53.18,17.93
604,1,blue,0.8,53.19,17.96
604,1,blue,0.9,53.21,17.96
604,1,blue,1.0,53.25,17.9
604,1,blue,1.1,53.32,17.82
604,1,blue,1.2,53.35,17.77
604,1,blue,1.3,53.28,17.82
604,1,blue,1.4,53.31,17.8
604,1,blue,1.5,53.27,17.83
604,1,blue,1.6,53.33,17.85
604,1,blue,1.7,53.3,17.9
604,1,blue,1.8,53.27,17.9
604,1,blue,1.9,53.28,17.85
604,1,blue,2.0,53.23,17.82
604,1,blue,2.1,53.25,17.82
604,1,blue,2.2,53.19,17.81
604,1,blue,2.3,53.16,17.82
604,1,blue,2.4,53.17,17.81
604,1,blue,2.5,53.18,17.84
604,1,blue,2.6,53.13,17.84
604,1,blue,2.7,53.12,17.82
604,1,blue,2.8,53.16,17.83
604,1,blue,2.9,53.21,17.79
604,1,blue,3.0,53.16,17.79
604,1,blue,3.1,53.22,17.77
604,1,blue,3.2,53.17,17.75
604,1,blue,3.3,53.15,17.69
604,1,blue,3.4,53.1,17.63
604,1,blue,3.5,53.09,17.59
604,1,blue,3.6,53.16,17.55
604,1,blue,3.7,53.05,17.51
604,1,blue,3.8,53.13,17.45
604,1,blue,3.9,53.16,17.47
604,1,blue,4.0,53.17,17.46
604,1,blue,4.1,53.1,17.47
604,1,blue,4.2,53.02,17.45
604,1,blue,4.3,53.06,17.48
604,1,blue,4.4,53.05,17.58
604,1,blue,4.5,52.97,17.6
604,1,blue,4.6,52.92,17.63
604,1,blue,4.7,52.92,17.61
604,1,blue,4.8,52.94,17.63
604,1,blue,4.9,52.94,17.61
604,1,blue,5.0,52.96,17.57
604,1,blue,5.1,53.01,17.56
604,1,blue,5.2,53.01,17.53
604,1,blue,5.3,53.02,17.55
604,1,blue,5.4,53.08,17.59
604,1,blue,5.5,53.07,17.56
604,1,blue,5.6,52.98,17.55
604,1,blue,5.7,52.88,17.54
604,1,blue,5.8,52.9,17.57
604,1,blue,5.9,52.87,17.58
604,1,blue,6.0,52.86,17.57
604,1,blue,6.1,52.82,17.62
604,1,blue,6.2,52.88,17.6
604,1,blue,6.3,53.04,17.59
604,1,blue,6.4,53.13,17.61
604,1,blue,6.5,53.24,17.57
604,1,blue,6.6,53.21,17.54
604,1,blue,6.7,53.24,17.48
604,1,blue,6.8,53.32,17.5
604,1,blue,6.9,53.33,17.55
604,1,blue,7.0,53.28,17.55
604,1,blue,7.1,53.29,17.6
604,1,blue,7.2,53.34,17.62
604,1,blue,7.3,53.35,17.63
604,1,blue,7.4,53.25,17.62
604,1,blue,7.5,53.23,17.62
604,1,blue,7.6,53.23,17.65
604,1,blue,7.7,53.22,17.63
604,1,blue,7.8,53.18,17.68
604,1,blue,7.9,53.23,17.7
604,1,blue,8.0,53.27,17.71
604,1,blue,8.1,53.3,17.69
604,1,blue,8.2,53.32,17.64
604,1,blue,8.3,53.3,17.68
604,1,blue,8.4,53.32,17.67
604,1,blue,8.5,53.31,17.69
604,1,blue,8.6,53.33,17.71
604,1,blue,8.7,53.28,17.73
604,1,blue,8.8,53.24,17.77
604,1,blue,8.9,53.26,17.8
604,1,blue,9.0,53.29,17.83
604,1,blue,9.1,53.29,17.81
604,1,blue,9.2,53.32,17.8
604,1,blue,9.3,53.38,17.8
604,1,blue,9.4,53.4,17.8
604,1,blue,9.5,53.38,17.77
604,1,blue,9.6,53.39,17.73
